OBJECTID,REFNUM,SignificantName,OtherName,Location,StreetIndex,County,Architect,Builder,BeginYear,EndYear,SurveyType,SurveyDate,PIN,GlobalID,x,y,Reference Number,Url_img,Item ID,URL
55004,201033,Boyce Building, ,500--510 N. Dearborn St.,"Dearborn, N",Cook,"Eckstrom, Christian A.; Burnham, D. H. & Co.", ,1912,1912,National Register Application,8/12/95,,a9b07579-e36f-4b6d-ba81-94e8a832f81d,-9754916.83,5144662.441,201033,,4be29ef6bdd1434e975fd5883171a549,https://idnr.maps.arcgis.com/sharing/rest/content/items/4be29ef6bdd1434e975fd5883171a549/data
55015,200826,Washington Square (Park),Bughouse Square,901 N. Clark St.,"Clark, N",Cook,, ,1842,1842,National Register Application,12/3/90,,669d8ab5-df61-4f66-aa3a-425da97a1f43,-9754993.635,5145884.228100002,200826,,bce13a7ad2bf4cb88cf1e9a35dbe9d06,https://idnr.maps.arcgis.com/sharing/rest/content/items/bce13a7ad2bf4cb88cf1e9a35dbe9d06/data
55016,200827,Columbus Park,,500 S. Central Ave.,"Central, S",Cook,"Jensen, Jens J.", ,1915,1920,National Register Application,12/3/90,,ebceb378-ab84-42e1-82fb-744cdca4986d,-9770467.491,5142174.438,200827,,c68ff969de894b2b8854bd27eb8bc9a0,https://idnr.maps.arcgis.com/sharing/rest/content/items/c68ff969de894b2b8854bd27eb8bc9a0/data
55030,200883,Grant Park,,"Roughly, from the Chicago R. to E. McFetridge Dr. at Lake Michigan","McFetridge, E",Cook,"Bennett, Edward H.", ,1931,1931,Chicago Historic Resources Survey,1983-1994,,2630115e-4752-40f6-9142-c168f08bda25,-9753574.493,5142506.211400004,200883,,d88c68553ac849ea8812c1db58709a5f,https://idnr.maps.arcgis.com/sharing/rest/content/items/d88c68553ac849ea8812c1db58709a5f/data
55036,200903,Humboldt Park, ,1400 N. Sacremento Blvd.,"Sacremento, N",Cook,"Jenney, William Le Baron; Dubuis, Oscar F.; Jensen, Jens", ,1877,1877,National Register Application,9/3/91,,82a1053f-c6ea-4d37-837a-f518833eaeab,-9762947.821,5146643.961400001,200903,,f0d2a67ad7cb4e4bae17dcb9c9a7e728,https://idnr.maps.arcgis.com/sharing/rest/content/items/f0d2a67ad7cb4e4bae17dcb9c9a7e728/data
55058,200849,Sherman Park, ,1307 W. 52nd St.,"52nd, W",Cook,Olmsted Brothers, ,,,National Register Application,12/15/89,,7804ae02-6344-4a02-be7e-3bcb52427ab9,-9757971.117,5130600.292999997,200849,,acfbf26e1f4145f9a75eafb6f78ceae5,https://idnr.maps.arcgis.com/sharing/rest/content/items/acfbf26e1f4145f9a75eafb6f78ceae5/data
55059,200493,"Robie, Frederick C., House", ,5757 S. Woodlawn Ave.,"Woodlawn, S",Cook,"Wright, Frank Lloyd","Barnard, B. B., Co.",1907,1909,Chicago Historic Resources Survey,1983-1994,,68a58109-8fa3-4e60-ae22-725afddbecf7,-9751122.122,5129532.407199997,200493,,033b1cc7ff25496c9d092b02ec386af7,https://idnr.maps.arcgis.com/sharing/rest/content/items/033b1cc7ff25496c9d092b02ec386af7/data
55060,200526,Reliance Building, ,32 N. State St.,"State, N",Cook,"Burnham, D. H., & Co.; Atwood, Charles; Root, John", ,1890,1895,Structures,1971-1975,,3ebcb042-42a7-40df-b8ec-3cc1e6d15cf7,-9754746.898,5143437.635,200526,,8cc4fef9406541eabda51e242a631e4a,https://idnr.maps.arcgis.com/sharing/rest/content/items/8cc4fef9406541eabda51e242a631e4a/data
55061,200452,Auditorium Building,Roosevelt University,430 S. Michigan Ave. and Congress St.,"Michigan, S",Cook,"Sullivan, Louis H.", ,1887,1887,Structures,1971-1975,,759e2206-e16e-41ce-b6d6-e97baeffcbc3,-9754314.8,5142405.358900002,200452,,ef7fe94a476c4625a8286c8a4e742ca5,https://idnr.maps.arcgis.com/sharing/rest/content/items/ef7fe94a476c4625a8286c8a4e742ca5/data
55062,200486,"Carson, Pirie, Scott and Company", Schlesinger & Meyer,1 S. State St.,"State, S",Cook,"Sullivan, Louis H.; Burnham, Daniel H., & Co.", ,1899,1899,Structures,1971-1975,,10990df1-e8ed-4595-8eeb-03a7ac691d66,-9754651.656,5143276.574899999,200486,,945ecfb3f4c34b35b0eab0415bedfdb2,https://idnr.maps.arcgis.com/sharing/rest/content/items/945ecfb3f4c34b35b0eab0415bedfdb2/data
